sec	CH1 Input
0	-1.29486
0.005	-1.30615
0.01	-1.32477
0.015	-1.31409
0.02	-1.28937
0.025	-1.30157
0.03	-1.32599
0.035	-1.31378
0.04	-1.29578
0.045	-1.30585
0.05	-1.32538
0.055	-1.3147
0.06	-1.29547
0.065	-1.3031
0.07	-1.32538
0.075	-1.31256
0.08	-1.2912
0.085	-1.30554
0.09	-1.32629
0.095	-1.31531
0.1	-1.29425
0.105	-1.30005
0.11	-1.31805
0.115	-1.31287
0.12	-1.29211
0.125	-1.30341
0.13	-1.32446
0.135	-1.31104
0.14	-1.29333
0.145	-1.30341
0.15	-1.31927
0.155	-1.31134
0.16	-1.29822
0.165	-1.30157
0.17	-1.31714
0.175	-1.31104
0.18	-1.28601
0.185	-1.29425
0.19	-1.32355
0.195	-1.30768
0.2	-1.28571
0.205	-1.30524
0.21	-1.32263
0.215	-1.30981
0.22	-1.28967
0.225	-1.29791
0.23	-1.31653
0.235	-1.31226
0.24	-1.28479
0.245	-1.2973
0.25	-1.32294
0.255	-1.30737
0.26	-1.2851
0.265	-1.29791
0.27	-1.31073
0.275	-1.30066
0.28	-1.28235
0.285	-1.28906
0.29	-1.31226
0.295	-1.30249
0.3	-1.28479
0.305	-1.30066
0.31	-1.32599
0.315	-1.30615
0.32	-1.28357
0.325	-1.2973
0.33	-1.3092
0.335	-1.30432
0.34	-1.28754
0.345	-1.28876
0.35	-1.31256
0.355	-1.30646
0.36	-1.28479
0.365	-1.29181
0.37	-1.32263
0.375	-1.30249
0.38	-1.28326
0.385	-1.29669
0.39	-1.31958
0.395	-1.31226
0.4	-1.28845
0.405	-1.29242
0.41	-1.31287
0.415	-1.30707
0.42	-1.28815
0.425	-1.30188
0.43	-1.31744
0.435	-1.31012
0.44	-1.29059
0.445	-1.30066
0.45	-1.31744
0.455	-1.30829
0.46	-1.2912
0.465	-1.30249
0.47	-1.31622
0.475	-1.31287
0.48	-1.2851
0.485	-1.29852
0.49	-1.31836
0.495	-1.30859
0.5	-1.28937
0.505	-1.29761
0.51	-1.31012
0.515	-1.30707
0.52	-1.28998
0.525	-1.30157
0.53	-1.31989
0.535	-1.3092
0.54	-1.28998
0.545	-1.29822
0.55	-1.31897
0.555	-1.30585
0.56	-1.29333
0.565	-1.30188
0.57	-1.31134
0.575	-1.30981
0.58	-1.28784
0.585	-1.29822
0.59	-1.32751
0.595	-1.31287
0.6	-1.2973
0.605	-1.31226
0.61	-1.32874
0.615	-1.31409
0.62	-1.29608
0.625	-1.30707
0.63	-1.32813
0.635	-1.31226
0.64	-1.29059
0.645	-1.30371
0.65	-1.32263
0.655	-1.31561
0.66	-1.28815
0.665	-1.30096
0.67	-1.32385
0.675	-1.30829
0.68	-1.28693
0.685	-1.29944
0.69	-1.3208
0.695	-1.30676
0.7	-1.28845
0.705	-1.2973
0.71	-1.31989
0.715	-1.30463
0.72	-1.28784
0.725	-1.29608
0.73	-1.31897
0.735	-1.30676
0.74	-1.28662
0.745	-1.297
0.75	-1.32202
0.755	-1.31073
0.76	-1.28174
0.765	-1.30157
0.77	-1.31348
0.775	-1.30646
0.78	-1.28052
0.785	-1.30005
0.79	-1.31836
0.795	-1.30524
0.8	-1.28296
0.805	-1.29944
0.81	-1.31653
0.815	-1.30219
0.82	-1.2854
0.825	-1.29639
0.83	-1.31866
0.835	-1.30524
0.84	-1.27899
0.845	-1.297
0.85	-1.31866
0.855	-1.3028
0.86	-1.28876
0.865	-1.29883
0.87	-1.31836
0.875	-1.30981
0.88	-1.28998
0.885	-1.30341
0.89	-1.32233
0.895	-1.31073
0.9	-1.28693
0.905	-1.31012
0.91	-1.32233
0.915	-1.31317
0.92	-1.29333
0.925	-1.30615
0.93	-1.32477
0.935	-1.31317
0.94	-1.29517
0.945	-1.30859
0.95	-1.32599
0.955	-1.31775
0.96	-1.3028
0.965	-1.31165
0.97	-1.32477
0.975	-1.31073
