PPG (Pulse)	Respiration (SS5LB)
-0.333252	-1.21094
-0.337585	-1.2088
-0.345337	-1.20697
-0.355042	-1.20483
-0.364685	-1.2027
-0.373779	-1.20056
-0.382446	-1.19873
-0.391602	-1.1969
-0.401917	-1.19507
-0.414551	-1.19293
-0.427673	-1.1908
-0.440308	-1.18835
-0.451843	-1.18652
-0.463379	-1.18469
-0.474854	-1.18286
-0.484924	-1.18073
-0.492676	-1.17889
-0.499573	-1.17676
-0.506775	-1.17493
-0.517334	-1.17279
-0.532715	-1.17096
-0.552551	-1.16852
-0.573853	-1.16425
-0.592041	-1.15601
-0.605103	-1.14136
-0.614807	-1.12
-0.622864	-1.09283
-0.630371	-1.0611
-0.637207	-1.02509
-0.642944	-0.985718
-0.646301	-0.944824
-0.646118	-0.903625
-0.642395	-0.862122
-0.637695	-0.820618
-0.633728	-0.778198
-0.630798	-0.733643
-0.627014	-0.686035
-0.621948	-0.636292
-0.615479	-0.585632
-0.608887	-0.535278
-0.602295	-0.48584
-0.596313	-0.437012
-0.589905	-0.389099
-0.582764	-0.342407
-0.574402	-0.295715
-0.564819	-0.245972
-0.550537	-0.185852
-0.526123	-0.0900269
-0.484192	0.0830078
-0.419617	0.367737
-0.328918	0.759583
-0.21167	1.20819
-0.0702515	1.64795
0.0897827	2.03369
0.261963	2.35352
0.438293	2.61566
0.611328	2.83295
0.774902	3.01514
0.925415	3.16803
1.06024	3.29712
1.17841	3.40637
1.27948	3.50128
1.3642	3.58551
1.43323	3.66394
1.48749	3.73932
1.53076	3.81287
1.56708	3.88336
1.59735	3.94928
1.61841	4.01031
1.62524	4.06799
1.6181	4.12567
1.59918	4.18549
1.57104	4.24835
1.53394	4.31488
1.48828	4.3866
1.43524	4.46259
1.37714	4.54041
1.31427	4.61548
1.24567	4.68475
1.17017	4.74731
1.08942	4.8056
1.00555	4.86206
0.92041	4.91821
0.833313	4.97375
0.744385	5.02777
0.654297	5.07813
0.56366	5.12482
0.472778	5.16632
0.382507	5.20233
0.294006	5.23407
0.209045	5.26611
0.127991	5.30151
0.0513916	5.34088
-0.020813	5.38208
-0.0886841	5.42236
-0.153076	5.45959
-0.213501	5.49255
-0.268738	5.52124
-0.317383	5.54474
-0.35968	5.56458
-0.397095	5.58258
-0.430237	5.6012
-0.45874	5.62164
-0.482727	5.64423
-0.501953	5.67017
-0.51709	5.69977
-0.527649	5.73273
-0.533386	5.7666
-0.534058	5.79926
-0.530579	5.83099
-0.523621	5.86365
-0.513184	5.89783
-0.498718	5.93201
-0.480774	5.96436
-0.460144	5.99274
-0.438354	6.01715
-0.41571	6.03882
-0.39209	6.05988
-0.367249	6.08673
-0.342407	6.12732
-0.319397	6.18408
-0.300354	6.25031
-0.285339	6.31317
-0.273193	6.36536
-0.263306	6.40778
-0.256775	6.44623
-0.254089	6.48712
-0.254456	6.53473
-0.255066	6.58844
-0.255005	6.64368
-0.254944	6.69373
-0.256897	6.73615
-0.261597	6.77246
-0.269104	6.80542
-0.278442	6.83655
-0.289429	6.86707
-0.301453	6.89697
-0.314148	6.92688
-0.326965	6.95526
-0.339966	6.98273
-0.3526	7.01355
-0.365112	7.05109
-0.377136	7.09564
-0.389221	7.14172
-0.401978	7.1814
-0.415894	7.21283
-0.430481	7.23846
-0.444885	7.26563
-0.456909	7.29675
-0.466675	7.33124
-0.475342	7.3645
-0.484924	7.3941
-0.495239	7.42004
-0.504395	7.44354
-0.51123	7.46368
-0.516907	7.47925
-0.522522	7.48993
-0.528381	7.49695
-0.533142	7.50275
-0.536621	7.50885
-0.53949	7.5174
-0.543091	7.52899
-0.546448	7.54242
-0.548035	7.55707
-0.546509	7.57141
-0.542664	7.58575
-0.538269	7.59857
-0.534851	7.61078
-0.532776	7.6239
-0.531921	7.63855
-0.531494	7.65503
-0.53064	7.6712
-0.528198	7.68524
-0.524719	7.69714
-0.520508	7.70691
-0.516052	7.71576
-0.508728	7.72369
-0.49408	7.73041
-0.464661	7.7356
-0.414307	7.73987
-0.338074	7.74353
-0.235168	7.74658
-0.107727	7.74841
0.0397949	7.74933
0.202332	7.74994
0.37384	7.75024
0.54718	7.75055
0.714355	7.7536
0.869812	7.76276
1.0108	7.77893
1.13696	7.79816
1.24725	7.81433
1.34082	7.8241
1.41754	7.82776
1.47827	7.82867
1.52429	7.82867
1.55774	7.82806
1.57971	7.82654
1.59094	7.82318
1.59021	7.81891
1.57849	7.81403
1.55707	7.80884
1.52863	7.80396
1.49347	7.79999
1.45142	7.79572
1.40161	7.79175
1.34418	7.78778
1.27948	7.78412
1.20892	7.78168
1.13342	7.78046
1.05396	7.78015
0.971069	7.78076
0.885925	7.78259
0.7995	7.78534
0.712341	7.78931
0.62439	7.79358
0.535706	7.79816
0.446716	7.80182
0.358398	7.80396
0.270752	7.80579
0.184998	7.80853
0.102295	7.81281
0.0245972	7.81921
-0.0479736	7.8299
-0.11554	7.84668
-0.179504	7.86896
-0.239929	7.89368
-0.295654	7.91748
-0.345276	7.93732
-0.388855	7.95349
-0.427612	7.966
-0.463623	7.97546
-0.496948	7.98309
-0.526306	7.9895
-0.549805	7.99469
-0.567444	7.99927
-0.580139	8.00354
-0.588745	8.0072
-0.592468	8.01086
-0.591125	8.01361
-0.583801	8.01453
-0.571228	8.01361
-0.554504	8.01117
-0.535583	8.00781
-0.515137	8.00415
-0.493225	8.00049
-0.469482	7.99622
-0.445068	7.99103
-0.420593	7.98492
-0.39624	7.9776
-0.371643	7.97028
-0.347961	7.96265
-0.326477	7.95532
-0.308167	7.948
-0.292114	7.94159
-0.277649	7.93518
-0.265137	7.92908
-0.255737	7.92389
-0.250671	7.91901
-0.249512	7.91443
-0.25116	7.90924
-0.254822	7.90344
-0.259827	7.89703
-0.266541	7.88971
-0.273804	7.88177
-0.282166	7.87292
-0.291565	7.86377
-0.30304	7.85461
-0.316467	7.84546
-0.33136	7.83569
-0.346863	7.82562
-0.362061	7.81494
-0.375732	7.80426
-0.388428	7.79297
-0.401367	7.78168
-0.41571	7.77039
-0.430725	7.75818
-0.445557	7.74597
-0.458923	7.73376
-0.46991	7.72156
-0.47821	7.70996
-0.484375	7.69836
-0.490112	7.68677
-0.496521	7.67548
-0.502258	7.66357
-0.50708	7.65167
-0.510986	7.64008
-0.515564	7.62817
-0.521362	7.61658
-0.527344	7.60529
-0.531677	7.59399
-0.533691	7.58331
-0.533447	7.57294
-0.532043	7.56317
-0.530212	7.55341
-0.529358	7.54395
-0.529968	7.53479
-0.531616	7.52686
-0.532776	7.52045
-0.532898	7.51434
-0.531677	7.50793
-0.529968	7.50031
-0.527039	7.49207
-0.523499	7.48291
-0.519348	7.47314
-0.514893	7.46277
-0.506775	7.45209
-0.489014	7.4411
-0.454163	7.43011
-0.395874	7.41913
-0.311218	7.40753
-0.201111	7.39532
-0.0675049	7.38312
0.0856934	7.37091
0.254211	7.35931
0.430359	7.34741
0.605652	7.33551
0.772766	7.3233
0.927917	7.31049
1.06909	7.29736
1.19611	7.28455
1.30792	7.27173
1.40387	7.25861
1.48358	7.24487
1.54785	7.23145
1.59827	7.21771
1.63605	7.20428
1.66138	7.19086
1.67529	7.17773
1.67859	7.16492
1.67303	7.1521
1.65881	7.13898
1.63593	7.12494
1.60437	7.10968
1.56494	7.09259
1.5152	7.07458
1.45398	7.05627
1.38165	7.03857
1.30298	7.02179
1.22235	7.00562
1.14093	6.98975
1.05786	6.97357
0.972961	6.95618
0.886475	6.93787
0.799866	6.91956
0.713257	6.90186
0.62677	6.88446
0.540039	6.86737
0.454285	6.85028
0.370728	6.8335
0.290161	6.81671
0.211426	6.80084
0.133972	6.78528
0.0579224	6.77002
-0.0148926	6.75446
-0.0836792	6.73889
-0.148254	6.72302
-0.209351	6.70685
-0.265625	6.69037
-0.311951	6.67297
-0.349854	6.65466
-0.383606	6.63513
-0.419067	6.61469
-0.456055	6.59363
-0.48938	6.57227
-0.517029	6.55121
-0.538879	6.53046
-0.554565	6.5097
-0.562683	6.48834
-0.562622	6.46698
-0.554749	6.44623
-0.540588	6.42609
-0.521118	6.40381
-0.49823	6.37817
-0.472961	6.34979
-0.446167	6.3205
-0.418335	6.29028
-0.389648	6.25916
-0.360535	6.22681
-0.332092	6.19385
-0.305298	6.16089
-0.281677	6.12671
-0.262024	6.09039
-0.246643	6.05164
-0.234802	6.01105
-0.225159	5.97107
-0.216125	5.93292
-0.208069	5.89691
-0.202515	5.86334
-0.201599	5.83191
-0.206116	5.80292
-0.214844	5.77545
-0.225708	5.7486
-0.237	5.72144
-0.246643	5.69336
-0.257629	5.66498
-0.272339	5.63538
-0.292297	5.60364
-0.315186	5.57007
-0.33728	5.5365
-0.357666	5.50507
-0.37793	5.47577
-0.398743	5.44861
-0.420593	5.42206
-0.442017	5.39551
-0.462158	5.37018
-0.48053	5.34637
-0.498047	5.32532
-0.515808	5.3067
