EMG (5 - 500 Hz)	RMS EMG
0.00518799	0.0335281
0.0494385	0.0348121
0.0115967	0.0348093
-0.0543213	0.0372067
0.0143433	0.0372238
0.0314331	0.0375226
0.0109863	0.0372561
-0.0198364	0.0377332
0.0289917	0.037856
0.000915527	0.037853
0.0305176	0.0381927
0.0338745	0.0385711
0.0164795	0.0385621
0.0823975	0.0405058
-0.0244141	0.0357179
-0.0738525	0.0375487
0.0473022	0.0375184
0	0.037316
-0.0357056	0.0366922
0.0311279	0.0370196
0.00701904	0.0370111
-0.0274658	0.036627
-0.0292969	0.0374059
0.0656128	0.0372576
0.0338745	0.0376446
0.0799561	0.0405187
0.0311279	0.0407178
-0.10437	0.0481219
0.0192261	0.0479652
0.146484	0.0568593
-0.00305176	0.056919
-0.0613403	0.0591781
-0.0201416	0.0595344
-0.0473022	0.0580757
0.00366211	0.0577487
0.113525	0.0597643
0.00396729	0.0592197
-0.0134277	0.0594189
0.234985	0.0768196
0.133362	0.0806787
-0.0906372	0.0848815
-0.0970459	0.0884294
-0.0961304	0.0915948
-0.0384521	0.0916208
-0.0268555	0.0918433
0.153809	0.0962515
0.221558	0.107049
0.150757	0.106449
-0.143127	0.113612
-0.30426	0.131759
0.180969	0.137561
0.172729	0.140831
-0.184631	0.148192
-0.198059	0.155267
-0.0460815	0.155752
-0.0201416	0.153766
-0.0183105	0.153814
-0.0119019	0.153808
0.0610352	0.144367
0.0650024	0.141575
0.012207	0.140489
0.114746	0.14143
0.136719	0.142486
-0.0280762	0.142304
0.039978	0.142069
-0.0411987	0.138895
0.0274658	0.129662
0.159302	0.130204
-0.255737	0.138811
-0.0662231	0.121042
0.487061	0.158132
-0.0610352	0.154878
-0.246277	0.159471
0.102234	0.153312
0.0363159	0.152533
-0.130005	0.156166
0.141296	0.158215
-0.0292969	0.158488
0.312195	0.170855
-0.31311	0.187879
-0.301514	0.201183
0.151672	0.202416
0.33905	0.214012
0.0430298	0.213829
-0.167847	0.217807
-0.0189209	0.217592
-0.193787	0.222257
0	0.219057
-0.104675	0.212595
-0.142517	0.214503
-0.177612	0.18354
0.0427246	0.184321
0.0411987	0.177899
0.37323	0.196884
0.211182	0.202612
0.0723267	0.20062
-0.0930786	0.199631
0.00823975	0.199496
0.105896	0.187712
-0.00976563	0.173313
-0.0863647	0.159126
-0.192871	0.162697
-0.169067	0.146209
0.351257	0.168129
0.285034	0.175726
0.0195313	0.175544
0.0640869	0.168576
-0.223083	0.17779
0.0921631	0.176035
-0.111389	0.174574
-0.0112915	0.167992
0.00701904	0.168134
0.0424194	0.168136
-0.0106812	0.148467
0.176697	0.146284
0.0881958	0.146649
0.17395	0.14828
-0.269165	0.162696
0.339355	0.177204
-0.152588	0.18162
-0.349121	0.19849
-0.0701904	0.193811
0.0186157	0.188982
0.0234985	0.172516
0.232849	0.16843
-0.0335693	0.168591
0.552368	0.208726
-0.0259399	0.20086
0.218506	0.204681
-0.101013	0.204285
-0.30304	0.218266
0.0222778	0.218216
-0.0256348	0.21852
0.0357056	0.218365
0.950623	0.299631
-0.207214	0.305713
0.632629	0.331499
-0.289001	0.332609
-0.217896	0.332502
0.201111	0.330809
-0.117188	0.319462
-0.176697	0.322877
-0.0228882	0.323354
0.116882	0.32336
0.0454712	0.321166
0.282593	0.323943
-0.481873	0.326867
0.104065	0.327054
0.00610352	0.324162
-0.0100708	0.32297
-0.505981	0.336787
0.331116	0.344037
-0.184326	0.347265
0.134888	0.348138
0.27771	0.280363
-0.437927	0.293597
-0.0802612	0.250936
0.314941	0.257078
0.252991	0.259647
-0.160828	0.257684
-0.360718	0.268275
-0.244751	0.270685
-0.0216675	0.270687
0.404053	0.286125
-0.315552	0.293293
-0.145569	0.2844
-0.00396729	0.266248
0.528259	0.293213
-0.0460815	0.293284
-0.0585938	0.293453
-0.0445557	0.270124
-0.216064	0.263185
-0.0680542	0.260645
0.179749	0.262188
0.346069	0.266577
0.258484	0.252714
-0.220337	0.257702
0.0454712	0.248281
0.0390625	0.241572
-0.489807	0.262973
0.0424194	0.25079
0.192566	0.247515
-0.0933838	0.248671
-0.398865	0.247657
0.108032	0.239333
-0.343933	0.24948
0.319824	0.260311
-0.136719	0.230599
0.0012207	0.230659
0.260315	0.239215
0.247803	0.245891
0.0186157	0.240391
0.171204	0.241966
0.102844	0.24002
-0.148621	0.230328
-0.209656	0.226302
0.00244141	0.221594
-0.0775146	0.221579
-0.180359	0.223941
0.108948	0.197816
0.223083	0.203916
0.211182	0.204842
0.157471	0.205899
-0.153198	0.185828
-0.160522	0.189867
0.370789	0.184815
-0.124817	0.178088
0.383606	0.189445
0.302734	0.196371
0.100708	0.191643
0.132446	0.18762
-0.222778	0.198006
-0.222473	0.204724
-0.19989	0.21016
0.144958	0.208399
0.00335693	0.200847
0.14679	0.202016
0.333252	0.209412
-0.13092	0.206602
-0.229492	0.216869
0.260315	0.218557
0.707092	0.261165
0.255737	0.263612
-0.274353	0.270669
-0.0189209	0.265888
-0.0952148	0.259962
-0.150452	0.260996
0.0790405	0.24985
0.271301	0.248244
0.227051	0.251337
-0.148926	0.254385
-0.0762939	0.248561
-0.101013	0.24313
0.452881	0.251466
-0.451965	0.277752
0.101013	0.277692
-0.0317383	0.277552
0.0585938	0.269419
0.0177002	0.266631
0.305786	0.264738
-0.260315	0.27051
0.0619507	0.221159
0.489197	0.240101
-0.143738	0.233273
-0.264282	0.242223
-0.108032	0.242552
0.335999	0.249239
0.0942993	0.249386
-0.704956	0.293648
0.193481	0.292331
0.0567627	0.290764
0.140991	0.291771
-0.151978	0.293031
-0.135193	0.275168
-0.274658	0.263104
-0.0866699	0.262246
0.502319	0.287042
-0.00488281	0.286785
0.227966	0.291165
0.0128174	0.282951
-0.150146	0.278676
0.231018	0.283039
0.214844	0.264807
-0.104675	0.263838
-0.09552	0.257522
0.0241089	0.256034
-0.0695801	0.245212
-0.071106	0.244511
0.093689	0.182876
0.211182	0.183761
0.0808716	0.184034
-0.180664	0.187819
0.0878906	0.184309
0.0805664	0.180676
-0.280151	0.181177
-0.062561	0.180395
0.0958252	0.144606
0.281372	0.156033
-0.279541	0.163472
-0.125732	0.166083
-0.0497437	0.16282
-0.0393677	0.153972
0.0201416	0.144937
0.205383	0.151731
0.00976563	0.150194
-0.0772095	0.151102
-0.293579	0.164012
0.203552	0.170409
-0.0756836	0.169668
-0.0454712	0.161622
-0.0326538	0.159794
0.372009	0.178659
-0.0601196	0.177879
-0.15686	0.179596
-0.0616455	0.169255
0.11261	0.170841
0.0518799	0.169826
-0.0332642	0.156218
-0.0616455	0.144132
-0.0613403	0.142041
-0.0250244	0.141726
0.0656128	0.142229
0.0534058	0.142636
-0.0289917	0.134667
-0.281982	0.147882
-0.0967407	0.148331
0.143738	0.1382
-0.0570679	0.129945
0.144043	0.133687
-0.0735474	0.134303
0.0131226	0.134185
-0.169373	0.106496
0.0112915	0.106601
0.195923	0.112746
0.0549316	0.112837
-0.0509644	0.109976
0.426636	0.146866
-0.275269	0.159876
-0.237122	0.167842
-0.0662231	0.16792
-0.0524902	0.168139
0.0216675	0.167328
-0.171204	0.169924
0.00671387	0.170095
-0.0286865	0.159081
0.163574	0.162485
-0.055542	0.159284
-0.0842285	0.159822
0.327454	0.173853
0.426331	0.19739
0.147095	0.199307
-0.528564	0.231721
-0.0564575	0.23222
0.289307	0.237081
-0.485229	0.26154
-0.121155	0.262529
-0.0753784	0.240923
-0.0323486	0.234626
-0.0772095	0.229895
-0.0512695	0.22977
0.173035	0.23369
0.231018	0.23982
0.175476	0.239333
-0.678711	0.285529
0.257874	0.292031
-0.101013	0.290087
0.222473	0.294715
-0.0411987	0.294241
-0.0640869	0.284166
0.0881958	0.265703
-0.0976563	0.262423
-0.0500488	0.236941
0.202942	0.242155
0.0827026	0.232864
0.320129	0.217699
-0.130005	0.218005
-0.0308228	0.21723
-0.109253	0.218879
-0.0219727	0.217986
0.34668	0.229123
0.137024	0.228152
-0.398865	0.242952
-0.0238037	0.239679
-0.0610352	0.180787
0.105896	0.173597
0.0842285	0.1718
0.13855	0.16778
-0.0204468	0.16742
-0.263672	0.17858
-0.174866	0.182544
-0.000610352	0.181046
0.330811	0.194313
0.218201	0.195074
-0.283813	0.206398
-0.0878906	0.19371
-0.0415039	0.191881
0.0558472	0.192313
0.108337	0.192172
0.0796509	0.192699
0.139465	0.178855
0.20874	0.182387
-0.35614	0.177587
-0.197754	0.183381
-0.0393677	0.183071
0.000610352	0.181377
0.0558472	0.180751
0.163574	0.181891
0.032959	0.182048
-0.184021	0.176832
0.0567627	0.172205
0.0491333	0.172357
-0.387573	0.177947
0.246887	0.180075
0.0921631	0.170338
0.192566	0.174239
-0.0689697	0.174806
-0.0369263	0.174824
-0.088501	0.174406
-0.0634766	0.173813
0.0418091	0.170762
0.609436	0.215837
0.0393677	0.198324
0.0131226	0.191299
-0.266113	0.202413
0.193787	0.205773
-0.137024	0.209215
-0.0939941	0.208157
0.275574	0.216347
-0.0338745	0.211287
-0.25238	0.220466
-0.107422	0.222011
0.393677	0.21735
-0.133057	0.215602
-0.0683594	0.216094
0.197754	0.216314
0.268555	0.222039
0.0262451	0.221372
-0.125122	0.222645
0.071106	0.221417
0.0253296	0.221463
0.342102	0.191653
0.212402	0.195888
-0.19043	0.202539
-0.0640869	0.191747
-0.0772095	0.189877
-0.0534058	0.186985
0.110474	0.185393
0.419006	0.197339
-0.314026	0.212799
0.00549316	0.202072
0.101929	0.199054
-0.108643	0.185631
0.119629	0.182354
-0.286865	0.195566
-0.0506592	0.192483
0.375061	0.200962
0.243835	0.206731
-0.147095	0.207698
-0.0759888	0.209016
-0.233154	0.217112
0.0445557	0.203381
-0.0289917	0.19728
0.255127	0.201017
0.0640869	0.200515
0.198059	0.203055
0.0335693	0.20206
-0.133972	0.204711
-0.0280762	0.18252
0.0537109	0.166895
0.0698853	0.16722
0.0253296	0.166198
-0.0930786	0.165602
0.172119	0.167663
0.368042	0.167939
-0.0927734	0.169597
0.128479	0.153158
0.0106812	0.145608
-0.310974	0.159973
0.067749	0.158593
-0.178223	0.154239
0.192871	0.15842
0.0549316	0.157643
-0.0482178	0.150582
0.34729	0.166642
-0.0476074	0.163549
-0.115967	0.166744
-0.00305176	0.162817
0.1828	0.165752
0.202637	0.169735
-0.0906372	0.172354
-0.0680542	0.17399
0.151367	0.173181
-0.0448608	0.171665
0.280762	0.163686
0.202332	0.165238
-0.243225	0.175993
-0.0830078	0.177693
0.0973511	0.159939
0.245667	0.16622
0.286255	0.164839
-0.279541	0.180189
0.0167847	0.180351
0.292969	0.186652
0.0534058	0.174561
-0.341187	0.19456
-0.0421143	0.192188
0.103149	0.192379
-0.0787354	0.191487
0.0942993	0.187937
0.224915	0.190709
0.59967	0.225449
-0.413818	0.249727
-0.153198	0.253013
0.119324	0.247549
-0.263367	0.252834
-0.0674438	0.246478
0.101013	0.245842
0.0946045	0.245803
0.0311279	0.240503
0.0146484	0.232135
-0.163879	0.226025
0.126953	0.227508
0.278931	0.226631
-0.477905	0.251752
-0.0454712	0.239714
-0.111694	0.240922
0.215149	0.244702
-0.161438	0.246903
0.116577	0.24739
0.47821	0.26518
0.0445557	0.227193
0.0488281	0.206744
-0.00701904	0.203177
0.00518799	0.201797
0.0527954	0.191119
0.0283813	0.189778
-0.00793457	0.189301
0.139465	0.190394
-0.140686	0.194191
-0.0759888	0.195418
0.109558	0.191614
-0.109863	0.192675
0.324402	0.196141
0.0466919	0.157059
-0.358582	0.180646
-0.0793457	0.179434
0.00640869	0.174307
0.345154	0.182699
-0.174561	0.188483
-0.0701904	0.157822
-0.0759888	0.158586
0.24353	0.167448
0.434875	0.192373
-0.234985	0.201429
-0.180054	0.206118
-0.14801	0.208977
-0.0210571	0.209023
-0.0402832	0.206517
0.125427	0.206222
0.0830078	0.206067
-0.268555	0.213779
-0.20813	0.217353
-0.0125122	0.202409
-0.0857544	0.201956
0.18219	0.192469
0.236511	0.199228
-0.339661	0.213766
-0.212708	0.200934
-0.196228	0.201764
0.0619507	0.202864
0.0411987	0.203244
-0.0863647	0.193278
-0.0512695	0.157148
0.103455	0.156414
0.141296	0.158927
-0.556335	0.196116
-0.116272	0.196399
0.21759	0.205989
-0.00732422	0.202243
-0.0344849	0.199754
-0.012207	0.193774
-0.0881958	0.190342
-0.0466919	0.190229
-0.00946045	0.19008
0.09552	0.185718
0.0201416	0.174546
0.117188	0.164788
-0.187683	0.163425
-0.0994873	0.159624
-0.0827026	0.158758
0.0473022	0.158912
0.0991821	0.160962
0.115356	0.163685
0.0939941	0.16334
-0.128479	0.160904
-0.142822	0.107001
0.0222778	0.10403
0.00244141	0.0905341
-0.00396729	0.090545
0.0915527	0.0931823
0.0827026	0.0951825
0.143127	0.097928
-0.15625	0.104215
-0.00488281	0.104185
0.0741577	0.103327
0.00335693	0.103267
-0.186768	0.108038
0.408325	0.13543
-0.128784	0.136928
-0.0396729	0.135603
0.158691	0.139044
-0.0384521	0.138594
-0.144653	0.141181
0.0268555	0.139752
0.170898	0.141075
-0.0354004	0.136649
-0.0189209	0.136959
-0.0100708	0.137073
0.0939941	0.137934
-0.00213623	0.137126
0.153198	0.139709
0.342712	0.155007
0.0311279	0.148471
-0.0387573	0.149234
-0.0979614	0.152154
-0.187378	0.159852
-0.0698853	0.153808
0.00518799	0.12519
-0.0332642	0.121442
0.172424	0.125756
0.2005	0.128434
0.00610352	0.127641
0.0994873	0.121777
-0.117493	0.126798
-0.0958252	0.125576
0.109253	0.126387
0.107422	0.12712
0.307007	0.14048
0.045166	0.140085
0.223083	0.14491
-0.177002	0.152136
-0.243835	0.147498
-0.104065	0.14967
-0.0390625	0.149675
0.00915527	0.147681
0.141907	0.14269
0.326843	0.15547
-0.386963	0.183282
-0.143433	0.186827
0.0741577	0.183933
0.0454712	0.178999
0.0888062	0.179872
0.0198364	0.178747
0.0354004	0.176281
-0.0637817	0.175343
-0.0442505	0.174532
0.184631	0.177602
-0.107422	0.165497
0.0366211	0.16537
0.130005	0.159793
-0.169983	0.159417
0.296326	0.163508
0.198059	0.165724
-0.145874	0.169792
0.0476074	0.169806
-0.0296021	0.168083
-0.119324	0.154197
0.0878906	0.125869
-0.212402	0.131435
0.11261	0.132582
0.00366211	0.132481
0.078125	0.132199
-0.34668	0.155178
-0.0634766	0.155518
0.0537109	0.155454
0.447083	0.184318
-0.310059	0.194547
-0.117493	0.194851
-0.0750732	0.195311
-0.164185	0.195548
-0.0134277	0.192397
0.153503	0.182693
0.16449	0.180721
-0.112	0.179659
0.043335	0.179576
0.0146484	0.179736
0.0836182	0.179488
-0.0878906	0.178817
-0.0744629	0.17348
-0.0234985	0.171049
-0.0820923	0.17157
0.12146	0.173161
0.100098	0.156764
0.0689697	0.156609
-0.561829	0.201516
-0.104065	0.169194
-0.0616455	0.157736
-0.0424194	0.156593
0.0964355	0.158826
-0.0384521	0.15544
0.150757	0.159951
0.000305176	0.155333
0.0354004	0.149975
-0.03479	0.148568
0.0402832	0.148502
0.0698853	0.149688
0.214844	0.157035
-0.156555	0.159544
0.0732422	0.160019
0.0131226	0.160026
-0.0894165	0.16022
0.00579834	0.157471
0.0442505	0.155884
-0.00488281	0.154691
0.00183105	0.0867044
0.127869	0.0860553
-0.0585938	0.0859012
-0.184021	0.0966872
0.0140381	0.0947878
0.0445557	0.0943133
-0.00366211	0.0888089
0.166016	0.0955587
-0.0320435	0.0960254
-0.0372314	0.0960904
0.158691	0.101396
0.150452	0.105083
0.0317383	0.0949202
0.149841	0.0907021
-0.134888	0.0970272
-0.0805664	0.0995137
-0.0756836	0.0988112
0.0723267	0.0996307
0.00305176	0.0994744
-0.0592041	0.100791
0.13031	0.1041
0.0601196	0.101445
-0.0534058	0.101251
-0.0549316	0.09147
-0.0546265	0.0930779
0	0.0929683
0.078125	0.0938151
0.167542	0.0939398
-0.150452	0.100929
-0.0979614	0.103466
0.0198364	0.0975992
0.134888	0.0964342
0.0393677	0.0965634
-0.0650024	0.0913764
-0.0466919	0.0868478
0.22644	0.0985131
0.0610352	0.0967111
-0.00335693	0.0960565
-0.115967	0.100533
-0.0881958	0.101796
-0.0283813	0.0979853
0.0195313	0.097122
0.0271606	0.0964857
0.154114	0.101047
0.0765991	0.100625
-0.218811	0.113973
-0.0952148	0.115065
0.0845337	0.110126
0.0344849	0.104755
-0.107422	0.105269
0.0146484	0.105238
-0.0460815	0.101202
0.0863647	0.102792
-0.0100708	0.101735
0.10437	0.10358
0.207214	0.101522
-0.169067	0.108006
-0.153503	0.113082
0.251465	0.124439
0.0195313	0.122408
-0.131836	0.126353
0.062561	0.126935
0.0201416	0.126893
0.0146484	0.122258
-0.03479	0.121225
-0.0473022	0.110798
-0.0405884	0.108848
0.131226	0.111055
-0.0961304	0.113374
-0.0479126	0.111059
-0.00946045	0.1111
-0.00396729	0.110467
0.00640869	0.108904
0.115051	0.111634
-0.00366211	0.109415
-0.252991	0.112876
0.0326538	0.107604
-0.0317383	0.102276
-0.0723267	0.0839772
0.106506	0.0881975
0.0485229	0.0846845
-0.19104	0.0926251
0.00732422	0.0923925
0.0186157	0.0924716
-0.00488281	0.0924324
0.212402	0.10527
0.0546265	0.105671
-0.180969	0.108438
-0.0634766	0.107387
0.017395	0.107263
0.160522	0.113821
-0.248718	0.126572
0.0726318	0.127978
-0.043335	0.124679
-0.0656128	0.125071
0.0204468	0.112735
0.0177002	0.112504
0.00915527	0.112427
0.0439453	0.111834
-0.0216675	0.109021
0.0335693	0.108673
-0.183105	0.10798
-0.0793457	0.109101
0.0344849	0.109389
0.072937	0.110979
0.0769043	0.100537
0.00427246	0.099362
0.00915527	0.0915472
-0.0292969	0.0907452
0.195618	0.101198
0.108032	0.0975402
-0.307312	0.105964
-0.0338745	0.104709
-0.0512695	0.104869
0.170288	0.111046
0.0756836	0.112144
-0.254517	0.126424
-0.00549316	0.126372
-0.0650024	0.126407
0.0320435	0.126772
0.0234985	0.12661
0.00274658	0.119903
0.0891113	0.120028
-0.0189209	0.119988
0.0363159	0.119169
-0.0866699	0.119436
0.206604	0.128512
0.0534058	0.12897
-0.0793457	0.130192
0.012207	0.122242
-0.0698853	0.120067
-0.109558	0.10127
-0.0012207	0.10102
0.0308228	0.100579
0.0186157	0.0926354
0.00946045	0.090746
0.0518799	0.0707354
0.113525	0.074573
-0.0341797	0.0731931
0.0134277	0.0730702
0.0338745	0.0731847
-0.0784302	0.0760153
0.00305176	0.0736744
0.100403	0.0763953
-0.0128174	0.0763356
0.0772095	0.074322
-0.0436401	0.060491
-0.0772095	0.0619593
0.111389	0.0640848
-0.0265503	0.0645178
0.0289917	0.0621826
0.0259399	0.0554343
-0.0515747	0.057424
-0.050354	0.0590704
0.0320435	0.0592418
-0.0268555	0.0598552
-0.0680542	0.0613751
-0.0302124	0.0559942
0.0296021	0.0559819
-0.0280762	0.0562077
-0.0195313	0.0556513
0.0680542	0.0551481
0.201721	0.070957
0.00274658	0.0678471
-0.0439453	0.0686809
-0.032959	0.0670322
-0.0186157	0.0664039
0.0195313	0.0638565
0.146179	0.0672571
0.0714111	0.0681766
-0.112	0.0734963
-0.00549316	0.0733779
-0.0119019	0.0723199
-0.0506592	0.0723325
0.0299072	0.0722938
-0.0317383	0.0724189
0.0527954	0.0709595
0.0857544	0.0720716
0.0314331	0.0720888
-0.000610352	0.0714288
0.216064	0.0831817
-0.0283813	0.0837071
-0.148621	0.0816448
-0.0363159	0.0822557
-0.0231934	0.0817138
0.00793457	0.0811544
-0.00793457	0.0809934
0.0680542	0.0820078
0.0463867	0.0762915
-0.0418091	0.0755074
0.117188	0.0746851
0.00305176	0.0745954
-0.0497437	0.0757545
0.00518799	0.0743402
0.00915527	0.0742626
0.0289917	0.0735436
0.0177002	0.0730558
0.0366211	0.0713582
-0.0305176	0.0718387
-0.0128174	0.0719805
0.00274658	0.0529483
0.0732422	0.0550973
0.0671387	0.0437465
-0.0622559	0.0456611
-0.0894165	0.0505451

